"","PN38708PM"
"","Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - IPC Subyacente"
Nov20,96.1961650023572
Dic20,96.312369694404
Ene21,96.4556226826156
Feb21,96.4932182272454
Mar21,96.9626228670025
Abr21,97.0997465958025
May21,97.2925056087596
Jun21,97.5736034841729
Jul21,97.8918154560069
Ago21,98.3140960176231
Sep21,98.7052599336427
Oct21,99.1218052741511
Nov21,99.4567159532026
Dic21,100
Ene22,100.197260806556
Feb22,100.582745068267
Mar22,101.438742845162
Abr22,101.977813955097
May22,102.630853391302
Jun22,103.238017886358
Jul22,103.931156132298
Ago22,104.462012525012
Sep22,104.905102661547
Oct22,105.436954784604
Nov22,105.898979232874
Dic22,106.532412295492
Ene23,106.799744620998
Feb23,107.239271305614
Mar23,108.305740388771
Abr23,108.838980298081
May23,109.322736199388
Jun23,109.657952433498
Jul23,110.009744740172
Ago23,110.351191070798
Sep23,110.614018661723
Oct23,110.876494688677
Nov23,110.98258528278
Dic23,111.206320564089
Ene24,111.32769292314
Feb24,111.78200737553
Mar24,112.651178172081
Abr24,112.815371608698
May24,112.999449270245
Jun24,113.228309439736
Jul24,113.413139770186
Ago24,113.613716039901
Sep24,113.643682725694
Oct24,113.662853972458
Nov24,113.811184763418
Dic24,114.069041259122
Ene25,114.147447573858
Feb25,114.467105149482
Mar25,115.197901340337
Abr25,115.420762728049
May25,115.578198054967
Jun25,115.805406439795
Jul25,116.027966456274
Ago25,115.998679203449
Sep25,116.016555615878
Oct25,116.070864284663
Nov25,116.22026573976
Dic25,116.492958303908
Ene26,116.647130186264
Feb26,116.90563490319
Mar26,117.795490901601
Abr26,118.152724199623
May26,118.523453369233
Jun26,118.732029887594
